1	1	a	More chattering from the peanut gallery? Haven't gotten the memo, you're no longer a player? Honestly....clamoring for attention is so low budget. No shame.
2	1	a	Yep, suppressing natural behavior is always the way to go. We should also get them to stop pooping.
3	1	a	I guess we all missed your point Justine, whatever it might have been. emoticonXConfused Better luck next time. emoticonXGood
4	1	a	Evidence, I dont need no sticking evidence. This is what I beleive, and thats it, but I will dig up some proof that supports my point.
5	1	a	And I would appreciate your refraining from calling your mythology a theory.
6	1	a	What is it that you disagree with? My statement of fact? Or the fact that I made a politically incorrect assertion? emoticonXConfused
7	1	a	Tell you what-get your math and science skills up to a grade 6 level and I'll consider taking advice from you, 'kay?
8	1	a	"In my case, it isn't 'god fearing'.. so much as ""believer fearing'"
9	1	a	yeah just like you and your idols Glenn Beck, Rush Limbaugh, etc.
10	1	a	"HOLY COW!!!! Is this the ""Sacred Institution of Marriage"" you and jyoshu are so fervent to protect?"
11	1	a	So a gun is a fire hazard in a public place? I gotta say the gun haters are getting more creative with their arguments.
12	1	a	Oh gosh , a whole bunch of cut/pastes from a 14 year old that is showing off their lack of knowledge. These are not unknown situations, and are very easily explained.
13	1	a	Wow, everyone's just shakin' in their boots that your imaginary god will magick them off the earth! emoticonXKillemoticonXKillemoticonXKillemoticonXBanghead
14	1	a	Quite amusing that you refer to westerners as Gringos. The last time I heard that was in a film about Pancho villa!
15	1	a	It looks like just Mucusaur, you and me, along with an entire thread of bots! (I'm not too sure about Mucusaur, to be honest!) ;)
16	1	a	Ah, historical inevitability. I had no idea you were a marxist, Steeeeve! Unfortunately for you the same argument applies to the collapse of capitalism. And once again you conflate capitalism and freedom. Have you never heard of anarcho-syndicalism? And why is someone more free when their life is controlled by corporations than when those corporations are restrained by a democratic government?
17	1	a	"I have no idea what ""women's rights"" might be either. You could try to explain that to me while you are at it."
18	1	a	"Says the one who calls everyone who disagrees with him about politics a ""Bush hater"" and then cowardly runs away. emoticonXRolleyes"
19	1	a	You can thank Slick Willie Clinton who pushed through the sub-prime lending fiasco that eventually blew up under Bush. And gay-boy Barney Franks who oversaw the program.
20	1	a	Don't even think about contriving how gay marrige violates YOUR RIGHTS assmonkey. That's the most ludicrous, inane statement I have yet heard from the Religious Right.
21	1	a	"Look, the ""no one was around to see it"" argument. ""If a tree falls in the woods, and no one was around to see it, did it really fall?"" You lost this one a long time ago, too. You never learn."
22	1	a	Well, this guy is so bad ad arguing and so good at alienating people that if we sent him into the abortion forum, it is likely, he'd be so ineffective at defending his pro-life position thathe'd actually be contributing to the pro-choice position...
23	1	a	Another red herring gay argument. Ever hear of a medical power of attorney? You don't need marriage to have one, you know. emoticonXRolleyes
24	1	a	Anyone wanna make any bets on who the newbie is here???
25	1	a	Doctor, not guy/gal. Say the words...... A doctor.   Baby is synonymous with infant. Is fetus synonymous with infant? Strange, isn't it?
26	1	a	Dude, it's, like, all over the Bible, man! Maybe if you hit your forehead with Bibles more often, you would know these things!
27	1	a	Wow, that must be some good stuff he was drinking to keep him 'under the influence' for THAT long!! :p
28	1	a	Lets all make vast generalizations that are not true. Seems fun emoticonXRolleyes
29	1	a	That must be why they like to wear boots in Texas.
30	1	a	"Only those ignorant of science and evolution think that ""evolution"" has anything to do with the Bible. I guess that's because creationism is an attempt to pretend that mythology is somehow scientific and makes silly statements about science. It seems that science is somehow anti-Bible in that case when science debunks ignorance."
31	1	a	So why did you say pot was worse than alcohol? Just because both are apparently bad, doesn't make one 'worse'. I'll point out that you compared the two first, so saying it's dumb to compare the two's shooting yourself in the foot.
32	1	a	No but it will be funny to see what sex tapes this tramp did too....
33	1	a	Yes, it doesn't agree with your agenda so it must be trolling.
34	1	a	Apparently someone doesn't read. Trebor was talking about me not being jewish in the following quote.
35	1	a	Probably neat excuse. Do you expect jim to back that claim up? emoticonXGood Don't hold your breath.
36	1	a	"We all agree that abortion is ""killing"". Killing something that has yet to become self aware is different IMO. Funny you request an open ""mind"". My point is that it ain't a human being if it ain't got no mind. That's why they unplug you when you're brain dead."
37	1	a	"Excuse me?! Didn't AIDS started because your homies either ate or did the nasty with monkeys, thereby crossing the species boundary? What did it have to do with ""da man""? And crime and poverty in Africa is also the white devil's doing? emoticonXConfused"
38	1	a	It probably was a bunny suit that he was supposed to wear. I guess he changed his mind, once again, and decided to wear this suit.
